Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BTCBUSD_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,ETHBUSD_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,BNBBUSD_Volume
2020-01-26,8322.65000000,8597.84000000,8281.47000000,8595.94000000,641.27425100,159.85000000,167.69000000,159.13000000,167.55000000,1403.59180000,16.89390000,17.45970000,16.80890000,17.45970000,3428.80000000
2020-01-27,8595.58000000,8981.59000000,8552.09000000,8891.56000000,852.21121000,167.68000000,171.63000000,165.00000000,169.75000000,2079.97051000,17.46000000,17.83590000,17.19000000,17.64000000,7977.35000000
2020-01-28,8888.29000000,9400.00000000,8885.00000000,9376.30000000,1053.81233900,169.89000000,176.18000000,169.84000000,175.65000000,2083.74235000,17.64000000,18.12310000,17.32770000,18.09180000,16851.49000000
2020-01-29,9374.29000000,9424.38000000,9217.96000000,9283.40000000,870.17221100,175.61000000,178.40000000,173.21000000,173.21000000,1278.71602000,18.05820000,18.39350000,17.79000000,17.86960000,9897.71000000
2020-01-30,9283.40000000,9561.24000000,9180.12000000,9499.49000000,780.63653000,173.21000000,186.70000000,170.50000000,184.21000000,1754.84623000,17.86820000,18.65180000,17.65820000,18.50610000,11634.78000000
2020-01-31,9501.12000000,9519.42000000,9192.49000000,9336.29000000,726.83814100,184.73000000,185.48000000,174.93000000,179.72000000,2210.07881000,18.53080000,18.81220000,17.79660000,18.22030000,7577.63000000
2020-02-01,9336.50000000,9452.23000000,9287.62000000,9377.14000000,789.16118200,179.80000000,184.02000000,179.08000000,183.52000000,1219.12090000,18.22030000,18.54820000,18.02000000,18.21750000,4977.90000000
2020-02-02,9376.72000000,9474.47000000,9150.00000000,9321.69000000,829.73372600,183.21000000,193.36000000,179.00000000,188.10000000,2721.15596000,18.24710000,18.74620000,17.84180000,18.40350000,9566.59000000
2020-02-03,9323.44000000,9601.17000000,9207.03000000,9284.88000000,881.44093000,188.03000000,195.31000000,186.51000000,189.48000000,2227.51558000,18.40000000,18.85710000,18.15500000,18.43650000,7719.86000000
2020-02-04,9280.42000000,9339.98000000,9080.00000000,9169.11000000,1073.65580000,189.82000000,191.20000000,184.42000000,188.36000000,1089.49756000,18.43650000,18.57710000,17.84180000,18.09750000,5028.63000000
2020-02-05,9169.11000000,9750.00000000,9151.56000000,9609.41000000,1598.88371900,188.58000000,207.55000000,187.67000000,203.73000000,2740.77512000,18.15300000,19.42850000,18.15300000,19.24140000,11914.18000000
2020-02-06,9609.75000000,9850.00000000,9528.17000000,9752.92000000,1327.30614500,204.00000000,216.10000000,201.13000000,212.85000000,3703.42430000,19.24080000,20.76530000,19.05100000,20.61100000,31511.57000000
2020-02-07,9753.12000000,9870.00000000,9715.63000000,9805.13000000,1103.92073100,213.06000000,224.40000000,213.06000000,223.26000000,5445.57494000,20.59640000,22.48010000,20.44820000,22.03840000,65129.80000000
2020-02-08,9804.08000000,9944.18000000,9658.56000000,9901.35000000,1208.00456600,223.45000000,227.73000000,213.39000000,223.31000000,5626.41409000,22.01020000,22.15010000,20.85000000,21.82550000,37335.58000000
2020-02-09,9901.56000000,10173.68000000,9887.80000000,10163.37000000,1237.33904100,223.10000000,230.67000000,223.06000000,228.79000000,4102.52360000,21.80000000,24.38280000,21.79450000,24.36730000,60864.72000000
2020-02-10,10163.92000000,10196.53000000,9757.58000000,9849.46000000,1932.56830600,228.79000000,229.64000000,216.67000000,222.96000000,6308.97202000,24.38120000,25.80000000,23.31320000,25.12670000,106189.29000000
2020-02-11,9847.63000000,10352.46000000,9708.07000000,10257.86000000,2272.14890800,223.06000000,239.57000000,218.02000000,237.65000000,6629.17254000,25.11530000,25.84640000,24.16320000,25.78350000,70767.25000000
2020-02-12,10259.72000000,10477.55000000,10244.11000000,10345.00000000,1840.04916300,238.07000000,275.93000000,238.07000000,266.18000000,10661.54013000,25.80000000,27.00000000,25.45180000,26.50180000,59566.23000000
2020-02-13,10344.47000000,10505.92000000,10081.83000000,10230.00000000,1986.22202400,266.36000000,277.92000000,256.00000000,268.42000000,8398.30068000,26.47790000,27.20020000,24.44270000,25.44360000,56078.53000000
2020-02-14,10229.35000000,10388.65000000,10099.81000000,10365.40000000,1506.21752700,268.64000000,288.21000000,260.35000000,285.76000000,6872.42008000,25.46610000,26.55460000,25.02040000,26.38830000,26882.86000000
2020-02-15,10362.01000000,10397.36000000,9800.00000000,9903.47000000,1432.24739100,285.71000000,288.85000000,261.69000000,264.72000000,10248.81623000,26.40020000,26.46380000,23.44320000,24.24050000,69229.63000000
2020-02-16,9903.39000000,10049.94000000,9629.58000000,9922.46000000,1988.42539500,264.74000000,273.87000000,237.03000000,259.18000000,14291.02440000,24.24130000,25.22440000,21.80650000,23.33820000,63356.81000000
2020-02-17,9922.44000000,9967.33000000,9457.84000000,9705.82000000,1939.10248200,258.92000000,268.43000000,242.36000000,267.75000000,13936.30492000,23.29710000,23.58220000,21.57420000,23.45370000,57518.15000000
2020-02-18,9707.30000000,10273.08000000,9602.62000000,10185.88000000,1662.95167600,267.85000000,286.44000000,259.08000000,283.16000000,11826.61425000,23.51030000,24.50000000,22.81990000,24.15600000,29936.46000000
